,token,count
60,the,1156385
7,.,1128583
35,",",1027875
47,to,566837
22,and,536551
11,of,488903
54,a,462073
32,in,393822
26,-,243360
1,for,215598
93,that,203152
4,is,202551
61,s,196153
37,,191866
103,’,187233
31,on,166454
84,it,156580
106,with,149654
44,',141226
325,was,130758
139,at,128265
155,"""",126344
16,i,118796
163,as,113587
65,be,108241
120,“,106826
331,he,104849
422,”,102222
237,are,101866
248,said,94494
142,this,92907
99,:,92800
121,we,91904
245,have,91140
112,from,90000
281,by,89080
157,will,80945
701,you,80643
86,they,76694
40,has,73822
553,but,71163
18,not,70212
148,an,68381
313,his,67920
426,their,60182
151,or,56909
104,t,53859
872,who,52221
485,one,51356
82,all,51165
77,more,50210
71,),46853
288,she,46839
68,(,46809
337,about,45839
242,there,45712
64,can,44905
368,were,44521
554,had,43013
15,up,42994
335,been,42094
420,our,40617
10,out,40607
690,her,39924
79,when,39889
133,also,39462
621,year,39144
80,people,38490
244,would,38045
301,new,37120
515,if,36788
904,what,36519
383,which,35558
94,so,35406
937,time,34620
1209,two,32473
580,your,31154
179,after,31153
70,?,31084
143,first,30604
772,its,30126
49,my,29913
41,some,29041
575,just,28874
453,no,28822
17,do,28419
19,like,28277
118,other,28118
128,years,28040
117,than,27939
618,$,27489
882,over,27413
24,them,27193
268,into,26598
45,m,24533
229,get,23695
691,state,23141
262,school,22604
595,now,22575
126,last,22447
